timestamp,event,mint,symbol,price_usd,size_usd,fee_usd,pnl_usd,reason
2026-08-26 08:28:13,BUY,9QLCEL7Xo9VTwgBeAYU1PWX7JJ8joKxQCYw3msjUpump,cicadafarm,0.00004657,2.00,0.0350,,needs 1.085x to exit profitably | tx:
2026-08-26 08:28:25,SELL,9QLCEL7Xo9VTwgBeAYU1PWX7JJ8joKxQCYw3msjUpump,cicadafarm,0.00003891,1.69,0.0342,-0.3812,stop_loss | tx:
2026-08-26 08:28:38,SKIP,pPvUZDcS2BzQh7ofCFqwEzYZhY3bkrjiGQPKAQopump,POUND,,,,,concentration_risk (51.7% > 40.0%)
2026-08-26 08:29:20,SKIP,mf1Q5nuqff5XxCK9zULAYpri9iJUVPFavmjvPZXpump,BADGERS,,,,,concentration_risk (88.8% > 40.0%)
2026-08-26 08:32:38,SKIP,72iZDiCgDiwTeKkjwfXZqJCLeUWjZL55yn25nG4mpump,Json,,,,,concentration_risk (94.9% > 40.0%)
2026-08-26 08:32:44,SKIP,HjpXiGuDZFXXgMKmMQ2DrjgNJCnE4Z2Tw7ZfdiR8pump,angel,,,,,liquidity_too_low (2 < 1500)
2026-08-26 08:33:18,SKIP,NyzYQk5itH4LgJPki73QeJhT1BgNykv1ectcpj7pump,Pistacio,,,,,concentration_risk (95.3% > 40.0%)
2026-08-26 08:35:30,SKIP,91pRNq5cfj8GJj3EEciBRqjpmAqLXpxMZAFvuDPJpump,$MTRUMP,,,,,liquidity_too_low (13 < 1500)
2026-08-26 08:35:30,SKIP,6EA6EYhDEVH6JU87ZLXy3bta2ukw8JBayYcj3qsCpump,Deg,,,,,serial_dev (64 prior mints)
2026-08-26 08:36:30,SKIP,YYTM729dwC7kCZD1KsrLZEcXerWFrbWjsoNNmr1pump,WWR,,,,,concentration_risk (99.4% > 40.0%)
2026-08-26 08:38:01,SKIP,FvoyRoYAZZhr98aL63GYU3Zdcg89Qu32D557eKxGpump,Nepal,,,,,serial_dev (3124 prior mints)
2026-08-26 08:44:53,BUY,DddajcZPHJ2LVM6e3Ey9Q4DB2vfi7UnitoMn4S97pump,KIMIK3,0.00002839,2.00,0.0350,,needs 1.085x to exit profitably | tx:
2026-08-26 08:45:18,SKIP,G8f7odhALhZvfrizLpRSx9YoCofRYASQoLhdzqNgpump,Zoe,,,,,concentration_risk (98.2% > 40.0%)
2026-08-26 08:45:37,SKIP,6rQ1xH2QyFRe3FjTZjEFk3MJLEChAkQKgYcdz8xupump,PARTON,,,,,liquidity_too_low (13 < 1500)
2026-08-26 08:45:37,SELL,DddajcZPHJ2LVM6e3Ey9Q4DB2vfi7UnitoMn4S97pump,KIMIK3,0.00002323,1.65,0.0341,-0.4158,stop_loss | tx:
2026-08-26 08:47:16,SKIP,13kZ7eMFFN1dJyWqa2wRPbZuA5hDSWuZeM4gWN6ypump,CYBERBANK,,,,,concentration_risk (95.6% > 40.0%)
2026-08-26 08:47:28,SKIP,8KqeniZrFY9ybe4QLPhLojdr58WWc33kqMXduhrypump,STONKS,,,,,actively_dumping (-76.3% in 5m)
2026-08-26 08:47:34,SKIP,3SZxDbKqNkyAWMA8wh3bEFo2YR2XftiW8FtVwYXpE4vY,Stonks,,,,,serial_dev (153310 prior mints)
2026-08-26 08:47:47,SKIP,4hh2gwRURFM4zAM6XAYpdetFit7fepyQm7Fwkhaipump,RICHUFO,,,,,liquidity_too_low (13 < 1500)
2026-08-26 08:47:53,SKIP,47D5PKFVYPRGoNEk1Dc3bL8f3ac77Y8FdAYm3Hqypump,STONKS,,,,,serial_dev (1901 prior mints)
2026-08-26 08:48:14,SKIP,ExqxPNU1GdLzaAgKSLGyFghuVZrFgGWFScmxBNF2UfpX,burrito,,,,,serial_dev (4359 prior mints)
2026-08-26 08:48:17,SKIP,MRM6i2YQisDWRzC5g3cbje57JjpL3jpWWZxTrRkpump,RST,,,,,concentration_risk (99.4% > 40.0%)
2026-08-26 08:50:44,SKIP,N1MhsavDvvcnEwGu6TWQQ2BVENCKXSFwhQFjTvSpump,Redbull,,,,,concentration_risk (93.7% > 40.0%)
2026-08-26 08:50:50,SKIP,EnMCSz9EPtfzeESZqsujTPR2w1a6zcfg5M8M2trHpump,RST,,,,,concentration_risk (99.4% > 40.0%)
2026-08-26 08:51:26,SKIP,PCcvEJmBCsbFqBTqqp9yGUGPoaCHU6BwPsvD47Wpump,Zoe,,,,,concentration_risk (95.5% > 40.0%)
