timestamp,event,mint,symbol,price_usd,size_usd,fee_usd,pnl_usd,reason
2026-08-27 15:03:59,SKIP,DrMLtQ6Xq1xEtvWvcZnM7gotXNK52ypRsa4X6Y6Hpump,HUNTED,,,,,serial_dev (8878 prior mints)
2026-08-27 15:05:38,SKIP,6e5a3xFpZBuv41EJTGwKh9ki2zQ7xAcqg6y1cMRmpump,100x,,,,,serial_dev (3 prior mints)
2026-08-27 15:05:59,SKIP,GBtzAfxb1DkSWokspqXggxki7BGp7HV2EBMnzJjtpump,CXU,,,,,liquidity_too_high_for_this_strategy (7591 > 5000)
2026-08-27 15:06:30,SKIP,57QXGjw6bQoHGxBqKnR2j1j1U3BC5pLFkpQ3GZxKpump,BEAST,,,,,liquidity_too_high_for_this_strategy (28984 > 5000)
2026-08-27 15:06:48,SKIP,9j3JUQ1A6BsqZqSZyzT1Zb2fKef4fxZQjurYEJVYpump,pun,,,,,serial_dev (5 prior mints)
2026-08-27 15:06:48,SKIP,FCzgaN8VaRfV5EGCM1YsPnM3Qv5PgsBuQSkVrPYEpump,TARDI,,,,,liquidity_too_high_for_this_strategy (10046 > 5000)
2026-08-27 15:06:48,BUY,Ds4h8Etn48hX4GWDbxTWmkNe5ruu5S19boQLqTc7pump,QHAM,0.00000001,2.00,0.0350,,needs 1.065x to exit profitably | tx:
2026-08-27 15:06:55,SELL,Ds4h8Etn48hX4GWDbxTWmkNe5ruu5S19boQLqTc7pump,QHAM,0.00000001,1.64,0.0341,-0.4307,stop_loss | liq=5 holders=17 top_pct=64.0 organic=0 chg5m=-99.7 chg1h=-99.7 organic_buyers5m=0 dev_mints=1 renounced=True lp_locked=True | tx:
2026-08-27 15:09:08,SKIP,A8UccV7jJVqyvnbfSHKhmZRPzRYk3gmBzpZwcYwpump,SWEET,,,,,liquidity_too_high_for_this_strategy (6106 > 5000)
2026-08-27 15:12:44,SKIP,8cLyY5evtKd1JT7dmuaxs8CsTRcj6X9nA5dcetP6pump,FIRST COIN,,,,,serial_dev (14 prior mints)
2026-08-27 15:13:57,BUY,F7XabKn6HDZSqnFz7GLiAhg22SrQN1weiZW8HKehpump,KALINA,0.00002236,2.00,0.0350,,needs 1.065x to exit profitably | tx:
2026-08-27 15:14:22,SELL,F7XabKn6HDZSqnFz7GLiAhg22SrQN1weiZW8HKehpump,KALINA,0.00001866,1.69,0.0342,-0.3828,stop_loss | liq=4635 holders=24 top_pct=70.3 organic=0 chg5m=-52.1 chg1h=-52.1 organic_buyers5m=0 dev_mints=1 renounced=True lp_locked=True | tx:
2026-08-27 15:14:25,SKIP,KYHA7fADjPYRfoswzqkWUvbae2vZ2fHPuPsTfqqpump,bitch,,,,,serial_dev (19 prior mints)
2026-08-27 15:15:02,SKIP,CoTgBjrxcCAzov1so5EYaowWKhpw8kXwdopXX55Lpump,XCASH,,,,,serial_dev (947 prior mints)
2026-08-27 15:15:47,SKIP,DXRwwqNDs9moVb2TigAbeVLzSECoWkxv2x8gpZezpump,红尘飞,,,,,serial_dev (237 prior mints)
2026-08-27 15:17:14,SKIP,GPY8nXs5ahAHzR9kPLZoqBkTb3egmUoRey767UXDWcTP,SIMBA,,,,,liquidity_too_high_for_this_strategy (5633 > 5000)
2026-08-27 15:19:03,SKIP,13s7snUeHt8joL4qUL7f1FyrkXnXMae9VSZMK19wpump,legs,,,,,serial_dev (496 prior mints)
2026-08-27 15:20:27,SKIP,ErQN3R5QRBZ4qnP4AdH5fS9X5kei16hVFyFzNCVspump,WAGMI,,,,,liquidity_too_high_for_this_strategy (7339 > 5000)
2026-08-27 15:22:15,SKIP,CY6kb1KLcaYYwLLry7u3pXCyVrTzuWXnKi1LHjFPpump,JWA,,,,,liquidity_too_high_for_this_strategy (26252 > 5000)
2026-08-27 15:22:30,SKIP,H6V9rnPBHwoMbLNMif43YNRqAqPzGmamZ9MepEuqpump,红尘飞,,,,,already_collapsed (-69%/5m -69%/1h)
2026-08-27 15:24:15,SKIP,DqzqW3GM9jXQEH4KnbLe5SQAWHdDNfk5xjka2BmYpump,MrBull,,,,,liquidity_too_high_for_this_strategy (6588 > 5000)
2026-08-27 15:25:37,SKIP,HZs1iJ5WpcmmAXtkhRPHfjyuc7gQF7WmYqZEMrXXpump,GTA,,,,,serial_dev (372 prior mints)
2026-08-27 15:26:34,SKIP,4DR1raovHvt8SkNobCuzLvxDsURqc5FEPWtesuqapump,ECTF,,,,,liquidity_too_high_for_this_strategy (8575 > 5000)
2026-08-27 15:27:13,SKIP,22Keu35BuypS6991XZ4d7YLvFUbDj936ghbecJDypump,FACE,,,,,serial_dev (8 prior mints)
2026-08-27 15:28:07,SKIP,EvYQb12pDy1uYRnpMGdY24onY7LyMeYbqzpQosHrpump,dbdb,,,,,serial_dev (3 prior mints)
2026-08-27 15:28:32,SKIP,ACyXo8UAkJDcJWQbEcTiyWkM1MxgSXTk69a49LTvpump,PHAGOL,,,,,serial_dev (703 prior mints)
