timestamp,event,mint,symbol,setup,price_usd,size_usd,fee_usd,pnl_usd,rug_verdict,movement,features,reason
2026-08-27 18:18:23,SCREEN,FZqdw6oSDCbHtKYxmhnfbi97SnyVy8jaYpdCoMrrjKa2,Pistacio,,,,,,SAFE,,,SAFE score=92 | warn:dev_history
2026-08-27 18:18:26,SCREEN,AA33znW3bciXvrj8AUwPryVgDiasmEGxaqCwjHEWGdkd,b,,,,,,SAFE,,,"SAFE score=84 | warn:dev_history,organic_buyers_5m"
2026-08-27 18:18:28,SCREEN,6ismWYLTwvzngqAzeWLhAfq1jSY2yv8hG55te1HnTw9j,MUFASA,,,,,,RUG_RISK,,,RUG_RISK score=100 | hard_fail:sell_route
2026-08-27 18:18:28,SKIP,6ismWYLTwvzngqAzeWLhAfq1jSY2yv8hG55te1HnTw9j,MUFASA,,,,,,RUG_RISK,,,rug_screen: RUG_RISK score=100 | hard_fail:sell_route
2026-08-27 18:18:33,SCREEN,TTWofwAge91oFhZs7kpQdyrVRkmevgM88xijGvQFbKo,TTWO,,,,,,RUG_RISK,,,"RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top10_holders | warn:organic_buyers_5m"
2026-08-27 18:18:33,SKIP,TTWofwAge91oFhZs7kpQdyrVRkmevgM88xijGvQFbKo,TTWO,,,,,,RUG_RISK,,,"rug_screen: RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top10_holders | warn:organic_buyers_5m"
2026-08-27 18:18:36,SCREEN,6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,STONK,,,,,,SAFE,,,"SAFE score=84 | warn:dev_history,organic_buyers_5m"
2026-08-27 18:18:38,SCREEN,4kjruqGHDsSqkMdFfCjV7Vb62HPFhtXyWc2t6JpQzDnz,GTA6,,,,,,SAFE,,,SAFE score=92 | warn:dev_history
2026-08-27 18:18:46,SCREEN,SKHYhSjuRWHgikq8eRKbtBbpABgJSkd7ytQV14i9EQ3,SKHY,,,,,,RUG_RISK,,,"RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top1_holder,top10_holders | warn:organic_buyers_5m"
2026-08-27 18:18:46,SKIP,SKHYhSjuRWHgikq8eRKbtBbpABgJSkd7ytQV14i9EQ3,SKHY,,,,,,RUG_RISK,,,"rug_screen: RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top1_holder,top10_holders | warn:organic_buyers_5m"
